,width,height,channel
0,600,800,3
1,1020,750,3
2,800,389,3
3,1024,768,3
4,800,600,3
5,686,1024,3
6,768,1024,3
7,1024,576,3
8,800,600,3
9,768,1024,3
10,600,800,3
11,1024,768,3
12,1024,1024,3
13,1024,768,3
14,768,1024,3
15,800,450,3
16,1024,768,3
17,768,1024,3
18,1024,768,3
19,799,800,3
20,647,800,3
21,480,852,3
22,1024,768,3
23,1024,768,3
24,600,800,3
25,600,800,3
26,576,1024,3
27,1024,473,3
28,359,514,3
29,1024,768,3
30,378,800,3
31,768,1024,3
32,768,1024,3
33,600,600,3
34,1024,768,3
35,800,600,3
36,576,1024,3
37,1024,575,3
38,600,800,3
39,600,800,3
40,768,1024,3
41,600,800,3
42,1024,768,3
43,800,600,3
44,1024,768,3
45,547,1024,3
46,1024,1024,3
47,1024,628,3
48,1024,768,3
49,1024,1024,3
50,1024,768,3
51,534,1024,3
52,673,800,3
53,870,1024,3
54,1024,768,3
55,1024,768,3
56,800,450,3
57,1024,768,3
58,1024,768,3
59,1024,768,3
60,800,600,3
61,206,716,3
62,1024,768,3
63,800,600,3
64,1024,783,3
65,777,1024,3
66,800,360,3
67,1024,1024,3
68,768,1024,3
69,768,1024,3
70,800,665,3
71,768,1024,3
72,800,373,3
73,576,1024,3
74,1024,768,3
75,800,600,3
76,1024,768,3
77,1024,768,3
78,800,598,3
79,1024,768,3
80,1024,1024,3
81,800,600,3
82,737,750,3
83,1024,768,3
84,800,800,3
85,768,1024,3
86,457,800,3
87,1024,473,3
88,378,800,3
89,1024,768,3
90,800,600,3
91,768,1024,3
92,768,1024,3
93,1024,768,3
94,960,720,3
95,800,600,3
96,1024,768,3
97,800,743,3
98,1024,768,3
99,1024,768,3
100,600,800,3
101,768,1024,3
102,1024,770,3
103,1024,1024,3
104,768,1024,3
105,1024,768,3
106,800,800,3
107,1024,768,3
108,1024,768,3
109,768,1024,3
110,768,1024,3
111,498,1024,3
112,640,480,3
113,1024,768,3
114,436,347,3
115,944,960,3
116,576,1024,3
117,1024,1024,3
118,768,1024,3
119,768,1024,3
120,800,450,3
121,600,800,3
122,1024,768,3
123,450,800,3
124,1024,768,3
125,1024,768,3
126,800,450,3
127,1024,810,3
128,704,960,3
129,800,600,3
130,800,583,3
131,768,1024,3
132,800,600,3
133,800,600,3
134,768,1024,3
135,550,412,3
136,1024,768,3
137,768,1024,3
138,768,1024,3
139,1024,768,3
140,768,1024,3
141,1024,768,3
142,768,1024,3
143,1024,576,3
144,1024,768,3
145,1024,768,3
146,881,750,3
147,768,1024,3
148,1024,768,3
149,1024,1024,3
150,800,600,3
151,800,450,3
152,768,1024,3
153,1024,473,3
154,756,1024,3
155,800,450,3
156,800,600,3
157,1024,768,3
158,800,600,3
159,1024,768,3
160,768,1024,3
161,1024,828,3
162,1024,370,3
163,800,600,3
164,800,600,3
165,1024,790,3
166,1024,768,3
167,768,1024,3
168,1024,768,3
169,768,1024,3
170,1024,768,3
171,1024,1024,3
172,1024,768,3
173,800,600,3
174,1024,576,3
175,800,360,3
176,1024,768,3
177,1024,576,3
178,640,480,3
179,757,1024,3
180,1024,768,3
181,1024,768,3
182,1024,768,3
183,1024,768,3
184,800,600,3
185,768,1024,3
186,1024,1024,3
187,1024,768,3
188,768,1024,3
189,800,600,3
190,768,1024,3
191,800,600,3
192,1024,768,3
193,768,1024,3
194,378,540,3
195,800,480,3
196,1024,768,3
197,577,1024,3
198,768,1024,3
199,559,800,3
200,800,597,3
201,1024,768,3
202,985,1024,3
203,800,600,3
204,768,1024,3
205,1024,591,3
206,768,1024,3
207,452,1024,3
208,1024,768,3
209,1024,473,3
210,1024,819,3
211,800,800,3
212,960,720,3
213,1024,768,3
214,1024,1024,3
215,1024,768,3
216,1024,768,3
217,800,600,3
218,800,600,3
219,800,600,3
220,1024,768,3
221,768,1024,3
222,800,600,3
223,768,1024,3
224,768,1024,3
225,800,600,3
226,1024,768,3
227,800,600,3
228,1024,768,3
229,1024,768,3
230,768,1024,3
231,600,800,3
232,800,600,3
233,1024,906,3
234,800,600,3
235,1024,473,3
236,1024,768,3
237,1024,768,3
238,1024,768,3
239,1024,768,3
240,1024,1024,3
241,308,800,3
242,1024,768,3
243,1024,768,3
244,680,1024,3
245,1024,768,3
246,800,600,3
247,768,1024,3
248,600,800,3
249,1024,768,3
250,600,800,3
251,800,388,3
252,1024,768,3
253,1024,768,3
254,768,1024,3
255,512,750,3
256,768,1024,3
257,1024,784,3
258,768,1024,3
259,800,600,3
260,800,600,3
261,768,1024,3
262,1024,768,3
263,576,1024,3
264,768,1024,3
265,1024,768,3
266,768,1024,3
267,1024,768,3
268,1024,1024,3
269,1024,768,3
270,1024,768,3
271,1024,768,3
272,1024,768,3
273,1024,1024,3
274,1024,768,3
275,600,800,3
276,1024,768,3
277,800,450,3
278,1024,1024,3
279,1024,780,3
280,1024,1024,3
281,600,800,3
282,1024,768,3
283,1024,579,3
284,830,1024,3
285,600,800,3
286,1024,768,3
287,768,1024,3
288,768,1024,3
289,885,1024,3
290,1024,768,3
291,1024,472,3
292,1024,575,3
293,768,1024,3
294,800,800,3
295,1024,575,3
296,1024,768,3
297,768,1024,3
298,1024,821,3
299,1024,768,3
300,378,800,3
301,715,1024,3
302,768,1024,3
303,768,1024,3
304,1024,768,3
305,1024,768,3
306,1024,843,3
307,680,1024,3
308,768,1024,3
309,480,640,3
310,600,800,3
311,1024,768,3
312,1024,768,3
313,768,1024,3
314,965,750,3
315,576,1024,3
316,800,600,3
317,1024,768,3
318,800,600,3
319,800,754,3
320,1024,1024,3
321,1024,768,3
322,800,600,3
323,800,600,3
324,768,1024,3
325,768,1024,3
326,1024,768,3
327,800,600,3
328,1024,1024,3
329,1024,768,3
330,800,600,3
331,1024,1024,3
332,500,500,3
333,768,1024,3
334,1024,768,3
335,800,360,3
336,1024,473,3
337,800,600,3
338,768,1024,3
339,800,600,3
340,443,591,3
341,680,1024,3
342,800,450,3
343,1024,768,3
344,1024,576,3
345,893,816,3
346,1024,1017,3
347,1024,768,3
348,1024,768,3
349,839,740,3
350,760,634,3
351,768,1024,3
352,1024,768,3
353,768,1024,3
354,1024,768,3
355,498,1024,3
356,768,1024,3
357,1024,1024,3
358,1024,768,3
359,779,948,3
360,768,1024,3
361,1024,768,3
362,800,600,3
363,1024,1024,3
364,800,360,3
365,369,800,3
366,1024,1024,3
367,450,800,3
368,1024,768,3
369,800,600,3
370,978,1024,3
371,986,1024,3
372,1024,478,3
373,1024,768,3
374,768,1024,3
375,1024,1024,3
376,597,640,3
377,1000,750,3
378,1024,473,3
379,800,552,3
380,768,1024,3
381,1024,625,3
382,1024,768,3
383,1024,768,3
384,768,1024,3
385,800,600,3
386,473,1024,3
387,800,598,3
388,1024,768,3
389,768,1024,3
390,768,1024,3
391,800,369,3
392,800,450,3
393,800,450,3
394,1024,768,3
395,1024,768,3
396,1024,683,3
397,768,1024,3
398,800,600,3
399,1024,768,3
400,768,1024,3
401,1024,768,3
402,800,600,3
403,1024,1024,3
404,800,600,3
405,800,600,3
406,1024,576,3
407,800,450,3
408,800,600,3
409,800,600,3
410,1024,806,3
411,800,600,3
412,1024,768,3
413,1024,473,3
414,800,600,3
415,1024,768,3
416,768,1024,3
417,1024,768,3
418,1024,768,3
419,1024,768,3
420,800,600,3
421,768,1024,3
422,1024,664,3
423,768,1024,3
424,800,600,3
425,1024,768,3
